FILE sum.
23904.B99990030_MSE.dat 68
Basic300_0_B10010001_MSE.dat 2167872
Basic300_0_B10020001_MSE.dat 2169924
Basic300_0_B10030001_MSE.dat 2167876
Basic300_0_B10040001_MSE.dat 2168900
Basic300_0_B10050001_MSE.dat 2101316
Basic300_0_B10060001_MSE.dat 2103360
Basic300_0_B10070001_MSE.dat 2102340
Basic300_0_B10080001_MSE.dat 2104388
Basic300_0_B10090001_MSE.dat 2104388
Basic300_0_B10100001_MSE.dat 2104388
Basic300_0_B10110001_MSE.dat 2103369
Basic300_0_B10120001_MSE.dat 2103309
Basic300_0_B10130001_MSE.dat 2103369
Basic300_0_B10140001_MSE.dat 2103369
Basic300_0_B10150001_MSE.dat 2103369
Basic300_0_B10160001_MSE.dat 2101313
Basic300_0_B10170001_MSE.dat 2103297
Basic300_0_B10180001_MSE.dat 2101313
Basic300_0_B10190001_MSE.dat 2162689
Basic300_0_B10200001_MSE.dat 2162689
Basic300_0_B10210001_MSE.dat 2166785
Basic300_0_B10220001_MSE.dat 2162697
Basic300_0_B10230001_MSE.dat 2097161
Basic300_0_B10240001_MSE.dat 2097165
Basic300_0_B10250001_MSE.dat 2162697
Basic300_0_B10260001_MSE.dat 65549
Basic300_0_B10270001_MSE.dat 4105
Basic300_0_B10280001_MSE.dat 4
Basic300_0_B10290001_MSE.dat 4105
Basic300_0_B10300001_MSE.dat 76
Basic300_0_B10310001_MSE.dat 4172
Basic300_0_B10320001_MSE.dat 65544
Basic300_0_B10330001_MSE.dat 65544
Basic300_0_B10340001_MSE.dat 65544
Basic300_0_B10350001_MSE.dat 69644
Basic300_0_B10360001_MSE.dat 65548
Basic300_0_B10370001_MSE.dat 69644
Basic300_0_B10380001_MSE.dat 65548
Basic300_0_B10390001_MSE.dat 67596
Basic300_0_B10400001_MSE.dat 65548
Basic300_0_B10410001_MSE.dat 65548
Basic300_0_B10420001_MSE.dat 65548
Basic300_0_B10430001_MSE.dat 65544
Basic300_0_B10440001_MSE.dat 65548
Basic300_0_B10450001_MSE.dat 65548
Basic300_0_B10460001_MSE.dat 65804
Basic300_0_B10470001_MSE.dat 65548
Basic300_0_B10480001_MSE.dat 65548
Basic300_0_B10490001_MSE.dat 65612
Basic300_0_B10500001_MSE.dat 65612
Basic300_0_B10510001_MSE.dat 65612
Basic300_0_B10520001_MSE.dat 65612
Basic300_0_B10530001_MSE.dat 65868
Basic300_0_B10540001_MSE.dat 65548
Basic300_0_B10550001_MSE.dat 65548
Basic300_0_B10560001_MSE.dat 65548
Basic300_0_B10570001_MSE.dat 65676
Basic300_0_B10580001_MSE.dat 65740
Basic300_0_B10590001_MSE.dat 98508
Basic300_0_B10600001_MSE.dat 98508
Basic300_0_B10610001_MSE.dat 65548
Basic300_0_B10620001_MSE.dat 65548
Basic300_0_B10630001_MSE.dat 65548
Basic300_0_B10640001_MSE.dat 65548
Basic300_0_B10650001_MSE.dat 98318
Basic300_0_B10660001_MSE.dat 98319
Basic300_0_B10670001_MSE.dat 65551
Basic300_0_B10680001_MSE.dat 65551
Basic300_0_B10690001_MSE.dat 65551
Basic300_0_B10700001_MSE.dat 65607
Basic300_0_B10710001_MSE.dat 196679
Basic300_0_B10720001_MSE.dat 2293831
Basic300_0_B10730001_MSE.dat 2293831
Basic300_0_B10740001_MSE.dat 2310215
Basic300_0_B10750001_MSE.dat 2310471
Basic300_0_B10760001_MSE.dat 2294087
Basic300_0_B10770001_MSE.dat 2293830
Basic300_0_B10780001_MSE.dat 2293830
Basic300_0_B10790001_MSE.dat 2293830
Basic300_0_B10800001_MSE.dat 2293830
Basic300_0_B10810001_MSE.dat 2310150
Basic300_0_B10820001_MSE.dat 2703634
Basic300_0_B10830001_MSE.dat 6897686
Basic300_0_B10840001_MSE.dat 2179074
Basic300_0_B10850001_MSE.dat 2310162
Basic300_0_B10860001_MSE.dat 2312450
Basic300_0_B10870001_MSE.dat 2312450
Basic300_0_B10880001_MSE.dat 2179330
Basic300_0_B10890001_MSE.dat 2179346
Basic300_0_B10900001_MSE.dat 65794
Basic300_0_B10910001_MSE.dat 65856
Basic300_0_B10920001_MSE.dat 65536
Basic300_0_B10930001_MSE.dat 98336
Basic300_0_B10940001_MSE.dat 98400
Basic300_0_B10950001_MSE.dat 4292706
Basic300_0_B10960001_MSE.dat 4292704
Basic300_0_B10970001_MSE.dat 98336
Basic300_0_B10980001_MSE.dat 98336
Basic300_0_B10990001_MSE.dat 106592
Basic300_0_B11000001_MSE.dat 106528
Basic300_0_B99990001_MSE.dat 106528
Basic300_1_B10010001_MSE.dat 6212
